time	well	position	DATE	TECAN	sample	REP	conc_ara	tmp	k	n0	r	t_mid	t_gen	auc_l	auc_e	sigma	note	OD
0	Well 104	A4	12072022	40	WT (Amp plasmid)	1	0% arabinose	10	0.000775	0.006025345	0.040310311	-3.415526758	17.19528258	0.045454352	0.0354575	0.003132276	questionable fit (k < n0)	0.09285
0.25	Well 104	A4	12072022	40	WT (Amp plasmid)	1	0% arabinose	10	0.000775	0.006025345	0.040310311	-3.415526758	17.19528258	0.045454352	0.0354575	0.003132276	questionable fit (k < n0)	0.093225
0.5	Well 104	A4	12072022	40	WT (Amp plasmid)	1	0% arabinose	10	0.000775	0.006025345	0.040310311	-3.415526758	17.19528258	0.045454352	0.0354575	0.003132276	questionable fit (k < n0)	0.09385
0.75	Well 104	A4	12072022	40	WT (Amp plasmid)	1	0% arabinose	10	0.000775	0.006025345	0.040310311	-3.415526758	17.19528258	0.045454352	0.0354575	0.003132276	questionable fit (k < n0)	0.09465
1	Well 104	A4	12072022	40	WT (Amp plasmid)	1	0% arabinose	10	0.000775	0.006025345	0.040310311	-3.415526758	17.19528258	0.045454352	0.0354575	0.003132276	questionable fit (k < n0)	0.095875
1.25	Well 104	A4	12072022	40	WT (Amp plasmid)	1	0% arabinose	10	0.000775	0.006025345	0.040310311	-3.415526758	17.19528258	0.045454352	0.0354575	0.003132276	questionable fit (k < n0)	0.097125
1.5	Well 104	A4	12072022	40	WT (Amp plasmid)	1	0% arabinose	10	0.000775	0.006025345	0.040310311	-3.415526758	17.19528258	0.045454352	0.0354575	0.003132276	questionable fit (k < n0)	0.098675
1.75	Well 104	A4	12072022	40	WT (Amp plasmid)	1	0% arabinose	10	0.000775	0.006025345	0.040310311	-3.415526758	17.19528258	0.045454352	0.0354575	0.003132276	questionable fit (k < n0)	0.10035
2	Well 104	A4	12072022	40	WT (Amp plasmid)	1	0% arabinose	10	0.000775	0.006025345	0.040310311	-3.415526758	17.19528258	0.045454352	0.0354575	0.003132276	questionable fit (k < n0)	0.10183
2.25	Well 104	A4	12072022	40	WT (Amp plasmid)	1	0% arabinose	10	0.000775	0.006025345	0.040310311	-3.415526758	17.19528258	0.045454352	0.0354575	0.003132276	questionable fit (k < n0)	0.10303
2.5	Well 104	A4	12072022	40	WT (Amp plasmid)	1	0% arabinose	10	0.000775	0.006025345	0.040310311	-3.415526758	17.19528258	0.045454352	0.0354575	0.003132276	questionable fit (k < n0)	0.10355
2.75	Well 104	A4	12072022	40	WT (Amp plasmid)	1	0% arabinose	10	0.000775	0.006025345	0.040310311	-3.415526758	17.19528258	0.045454352	0.0354575	0.003132276	questionable fit (k < n0)	0.1044
3	Well 104	A4	12072022	40	WT (Amp plasmid)	1	0% arabinose	10	0.000775	0.006025345	0.040310311	-3.415526758	17.19528258	0.045454352	0.0354575	0.003132276	questionable fit (k < n0)	0.10442
3.25	Well 104	A4	12072022	40	WT (Amp plasmid)	1	0% arabinose	10	0.000775	0.006025345	0.040310311	-3.415526758	17.19528258	0.045454352	0.0354575	0.003132276	questionable fit (k < n0)	0.10165
3.5	Well 104	A4	12072022	40	WT (Amp plasmid)	1	0% arabinose	10	0.000775	0.006025345	0.040310311	-3.415526758	17.19528258	0.045454352	0.0354575	0.003132276	questionable fit (k < n0)	0.09735
3.75	Well 104	A4	12072022	40	WT (Amp plasmid)	1	0% arabinose	10	0.000775	0.006025345	0.040310311	-3.415526758	17.19528258	0.045454352	0.0354575	0.003132276	questionable fit (k < n0)	0.09405
4	Well 104	A4	12072022	40	WT (Amp plasmid)	1	0% arabinose	10	0.000775	0.006025345	0.040310311	-3.415526758	17.19528258	0.045454352	0.0354575	0.003132276	questionable fit (k < n0)	0.092725
4.25	Well 104	A4	12072022	40	WT (Amp plasmid)	1	0% arabinose	10	0.000775	0.006025345	0.040310311	-3.415526758	17.19528258	0.045454352	0.0354575	0.003132276	questionable fit (k < n0)	0.09205
4.5	Well 104	A4	12072022	40	WT (Amp plasmid)	1	0% arabinose	10	0.000775	0.006025345	0.040310311	-3.415526758	17.19528258	0.045454352	0.0354575	0.003132276	questionable fit (k < n0)	0.0917
4.75	Well 104	A4	12072022	40	WT (Amp plasmid)	1	0% arabinose	10	0.000775	0.006025345	0.040310311	-3.415526758	17.19528258	0.045454352	0.0354575	0.003132276	questionable fit (k < n0)	0.0916
5	Well 104	A4	12072022	40	WT (Amp plasmid)	1	0% arabinose	10	0.000775	0.006025345	0.040310311	-3.415526758	17.19528258	0.045454352	0.0354575	0.003132276	questionable fit (k < n0)	0.091525
5.25	Well 104	A4	12072022	40	WT (Amp plasmid)	1	0% arabinose	10	0.000775	0.006025345	0.040310311	-3.415526758	17.19528258	0.045454352	0.0354575	0.003132276	questionable fit (k < n0)	0.09145
5.5	Well 104	A4	12072022	40	WT (Amp plasmid)	1	0% arabinose	10	0.000775	0.006025345	0.040310311	-3.415526758	17.19528258	0.045454352	0.0354575	0.003132276	questionable fit (k < n0)	0.09155
5.75	Well 104	A4	12072022	40	WT (Amp plasmid)	1	0% arabinose	10	0.000775	0.006025345	0.040310311	-3.415526758	17.19528258	0.045454352	0.0354575	0.003132276	questionable fit (k < n0)	0.091575
6	Well 104	A4	12072022	40	WT (Amp plasmid)	1	0% arabinose	10	0.000775	0.006025345	0.040310311	-3.415526758	17.19528258	0.045454352	0.0354575	0.003132276	questionable fit (k < n0)	0.091675
6.25	Well 104	A4	12072022	40	WT (Amp plasmid)	1	0% arabinose	10	0.000775	0.006025345	0.040310311	-3.415526758	17.19528258	0.045454352	0.0354575	0.003132276	questionable fit (k < n0)	0.0914
6.5	Well 104	A4	12072022	40	WT (Amp plasmid)	1	0% arabinose	10	0.000775	0.006025345	0.040310311	-3.415526758	17.19528258	0.045454352	0.0354575	0.003132276	questionable fit (k < n0)	0.0914
6.75	Well 104	A4	12072022	40	WT (Amp plasmid)	1	0% arabinose	10	0.000775	0.006025345	0.040310311	-3.415526758	17.19528258	0.045454352	0.0354575	0.003132276	questionable fit (k < n0)	0.0915
7	Well 104	A4	12072022	40	WT (Amp plasmid)	1	0% arabinose	10	0.000775	0.006025345	0.040310311	-3.415526758	17.19528258	0.045454352	0.0354575	0.003132276	questionable fit (k < n0)	0.091625
7.25	Well 104	A4	12072022	40	WT (Amp plasmid)	1	0% arabinose	10	0.000775	0.006025345	0.040310311	-3.415526758	17.19528258	0.045454352	0.0354575	0.003132276	questionable fit (k < n0)	0.0915
7.5	Well 104	A4	12072022	40	WT (Amp plasmid)	1	0% arabinose	10	0.000775	0.006025345	0.040310311	-3.415526758	17.19528258	0.045454352	0.0354575	0.003132276	questionable fit (k < n0)	0.09165
7.75	Well 104	A4	12072022	40	WT (Amp plasmid)	1	0% arabinose	10	0.000775	0.006025345	0.040310311	-3.415526758	17.19528258	0.045454352	0.0354575	0.003132276	questionable fit (k < n0)	0.091575
8	Well 104	A4	12072022	40	WT (Amp plasmid)	1	0% arabinose	10	0.000775	0.006025345	0.040310311	-3.415526758	17.19528258	0.045454352	0.0354575	0.003132276	questionable fit (k < n0)	0.091675
8.25	Well 104	A4	12072022	40	WT (Amp plasmid)	1	0% arabinose	10	0.000775	0.006025345	0.040310311	-3.415526758	17.19528258	0.045454352	0.0354575	0.003132276	questionable fit (k < n0)	0.0916
8.5	Well 104	A4	12072022	40	WT (Amp plasmid)	1	0% arabinose	10	0.000775	0.006025345	0.040310311	-3.415526758	17.19528258	0.045454352	0.0354575	0.003132276	questionable fit (k < n0)	0.09175
8.75	Well 104	A4	12072022	40	WT (Amp plasmid)	1	0% arabinose	10	0.000775	0.006025345	0.040310311	-3.415526758	17.19528258	0.045454352	0.0354575	0.003132276	questionable fit (k < n0)	0.091625
9	Well 104	A4	12072022	40	WT (Amp plasmid)	1	0% arabinose	10	0.000775	0.006025345	0.040310311	-3.415526758	17.19528258	0.045454352	0.0354575	0.003132276	questionable fit (k < n0)	0.09165
9.25	Well 104	A4	12072022	40	WT (Amp plasmid)	1	0% arabinose	10	0.000775	0.006025345	0.040310311	-3.415526758	17.19528258	0.045454352	0.0354575	0.003132276	questionable fit (k < n0)	0.091725
9.5	Well 104	A4	12072022	40	WT (Amp plasmid)	1	0% arabinose	10	0.000775	0.006025345	0.040310311	-3.415526758	17.19528258	0.045454352	0.0354575	0.003132276	questionable fit (k < n0)	0.091825
9.75	Well 104	A4	12072022	40	WT (Amp plasmid)	1	0% arabinose	10	0.000775	0.006025345	0.040310311	-3.415526758	17.19528258	0.045454352	0.0354575	0.003132276	questionable fit (k < n0)	0.09185
10	Well 104	A4	12072022	40	WT (Amp plasmid)	1	0% arabinose	10	0.000775	0.006025345	0.040310311	-3.415526758	17.19528258	0.045454352	0.0354575	0.003132276	questionable fit (k < n0)	0.091825
10.25	Well 104	A4	12072022	40	WT (Amp plasmid)	1	0% arabinose	10	0.000775	0.006025345	0.040310311	-3.415526758	17.19528258	0.045454352	0.0354575	0.003132276	questionable fit (k < n0)	0.091825
10.5	Well 104	A4	12072022	40	WT (Amp plasmid)	1	0% arabinose	10	0.000775	0.006025345	0.040310311	-3.415526758	17.19528258	0.045454352	0.0354575	0.003132276	questionable fit (k < n0)	0.091775
10.75	Well 104	A4	12072022	40	WT (Amp plasmid)	1	0% arabinose	10	0.000775	0.006025345	0.040310311	-3.415526758	17.19528258	0.045454352	0.0354575	0.003132276	questionable fit (k < n0)	0.091925
11	Well 104	A4	12072022	40	WT (Amp plasmid)	1	0% arabinose	10	0.000775	0.006025345	0.040310311	-3.415526758	17.19528258	0.045454352	0.0354575	0.003132276	questionable fit (k < n0)	0.0921
11.25	Well 104	A4	12072022	40	WT (Amp plasmid)	1	0% arabinose	10	0.000775	0.006025345	0.040310311	-3.415526758	17.19528258	0.045454352	0.0354575	0.003132276	questionable fit (k < n0)	0.09205
11.5	Well 104	A4	12072022	40	WT (Amp plasmid)	1	0% arabinose	10	0.000775	0.006025345	0.040310311	-3.415526758	17.19528258	0.045454352	0.0354575	0.003132276	questionable fit (k < n0)	0.092125
