name	tss_name	mean_diff	mean_scramble	mean_unscrambled	tstat	p.value	conf.low	conf.high	p.value.fdr	site_type_ttest	significant
neg_control_1215677:1215827_scrambled0-10_flipped	neg_control_1215677:1215827_scrambled0-10_flipped	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
neg_control_1215677:1215827_scrambled100-110_flipped	neg_control_1215677:1215827_scrambled100-110_flipped	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
neg_control_1215677:1215827_scrambled105-115_flipped	neg_control_1215677:1215827_scrambled105-115_flipped	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
neg_control_1215677:1215827_scrambled110-120_flipped	neg_control_1215677:1215827_scrambled110-120_flipped	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
neg_control_1215677:1215827_scrambled125-135_flipped	neg_control_1215677:1215827_scrambled125-135_flipped	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
neg_control_1215677:1215827_scrambled130-140_flipped	neg_control_1215677:1215827_scrambled130-140_flipped	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
neg_control_1215677:1215827_scrambled135-145_flipped	neg_control_1215677:1215827_scrambled135-145_flipped	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
neg_control_1215677:1215827_scrambled140-150_flipped	neg_control_1215677:1215827_scrambled140-150_flipped	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
neg_control_1215677:1215827_scrambled15-25_flipped	neg_control_1215677:1215827_scrambled15-25_flipped	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
neg_control_1215677:1215827_scrambled20-30_flipped	neg_control_1215677:1215827_scrambled20-30_flipped	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
neg_control_1215677:1215827_scrambled25-35_flipped	neg_control_1215677:1215827_scrambled25-35_flipped	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
neg_control_1215677:1215827_scrambled30-40_flipped	neg_control_1215677:1215827_scrambled30-40_flipped	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
neg_control_1215677:1215827_scrambled35-45_flipped	neg_control_1215677:1215827_scrambled35-45_flipped	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
neg_control_1215677:1215827_scrambled5-15_flipped	neg_control_1215677:1215827_scrambled5-15_flipped	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
neg_control_1215677:1215827_scrambled50-60_flipped	neg_control_1215677:1215827_scrambled50-60_flipped	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
neg_control_1215677:1215827_scrambled55-65_flipped	neg_control_1215677:1215827_scrambled55-65_flipped	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
neg_control_1215677:1215827_scrambled60-70_flipped	neg_control_1215677:1215827_scrambled60-70_flipped	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
neg_control_1215677:1215827_scrambled65-75_flipped	neg_control_1215677:1215827_scrambled65-75_flipped	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
neg_control_1215677:1215827_scrambled70-80_flipped	neg_control_1215677:1215827_scrambled70-80_flipped	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
neg_control_1215677:1215827_scrambled75-85_flipped	neg_control_1215677:1215827_scrambled75-85_flipped	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
neg_control_1215677:1215827_scrambled80-90_flipped	neg_control_1215677:1215827_scrambled80-90_flipped	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
neg_control_1215677:1215827_scrambled85-95_flipped	neg_control_1215677:1215827_scrambled85-95_flipped	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
neg_control_1215677:1215827_scrambled90-100_flipped	neg_control_1215677:1215827_scrambled90-100_flipped	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
neg_control_1215677:1215827_scrambled95-105_flipped	neg_control_1215677:1215827_scrambled95-105_flipped	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
neg_control_1288846:1288996_scrambled0-10	neg_control_1288846:1288996_scrambled0-10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
neg_control_1288846:1288996_scrambled10-20	neg_control_1288846:1288996_scrambled10-20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
neg_control_1288846:1288996_scrambled100-110	neg_control_1288846:1288996_scrambled100-110	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
neg_control_1288846:1288996_scrambled105-115	neg_control_1288846:1288996_scrambled105-115	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
neg_control_1288846:1288996_scrambled110-120	neg_control_1288846:1288996_scrambled110-120	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
neg_control_1288846:1288996_scrambled120-130	neg_control_1288846:1288996_scrambled120-130	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
neg_control_1288846:1288996_scrambled125-135	neg_control_1288846:1288996_scrambled125-135	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
neg_control_1288846:1288996_scrambled130-140	neg_control_1288846:1288996_scrambled130-140	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
neg_control_1288846:1288996_scrambled135-145	neg_control_1288846:1288996_scrambled135-145	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
neg_control_1288846:1288996_scrambled140-150	neg_control_1288846:1288996_scrambled140-150	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
neg_control_1288846:1288996_scrambled15-25	neg_control_1288846:1288996_scrambled15-25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
neg_control_1288846:1288996_scrambled20-30	neg_control_1288846:1288996_scrambled20-30	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
neg_control_1288846:1288996_scrambled25-35	neg_control_1288846:1288996_scrambled25-35	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
neg_control_1288846:1288996_scrambled30-40	neg_control_1288846:1288996_scrambled30-40	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
neg_control_1288846:1288996_scrambled35-45	neg_control_1288846:1288996_scrambled35-45	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
neg_control_1288846:1288996_scrambled40-50	neg_control_1288846:1288996_scrambled40-50	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
neg_control_1288846:1288996_scrambled45-55	neg_control_1288846:1288996_scrambled45-55	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
neg_control_1288846:1288996_scrambled5-15	neg_control_1288846:1288996_scrambled5-15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
neg_control_1288846:1288996_scrambled50-60	neg_control_1288846:1288996_scrambled50-60	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
neg_control_1288846:1288996_scrambled55-65	neg_control_1288846:1288996_scrambled55-65	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
neg_control_1288846:1288996_scrambled60-70	neg_control_1288846:1288996_scrambled60-70	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
neg_control_1288846:1288996_scrambled65-75	neg_control_1288846:1288996_scrambled65-75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
neg_control_1288846:1288996_scrambled70-80	neg_control_1288846:1288996_scrambled70-80	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
neg_control_1288846:1288996_scrambled75-85	neg_control_1288846:1288996_scrambled75-85	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
neg_control_1288846:1288996_scrambled80-90	neg_control_1288846:1288996_scrambled80-90	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
neg_control_1288846:1288996_scrambled85-95	neg_control_1288846:1288996_scrambled85-95	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
