mutation	mutation_label	position_label	state	energy_unit	score_function_name	total_score	fa_atr	fa_rep	fa_sol	fa_intra_rep	fa_intra_sol_xover4	lk_ball_wtd	fa_elec	hbond_sr_bb	hbond_lr_bb	hbond_bb_sc	hbond_sc	omega	fa_dun	p_aa_pp	yhh_planarity	ref	rama_prepro
A.A.22.A:B.A.22.A:C.A.22.A:D.A.22.A	A22A_A22A_A22A_A22A	A22_A22_A22_A22	ddg	kcal/mol	ref2015	-0.01067	-0.00398	-0.00235	0.00768	-0.0	-0.0	-0.00133	-0.0063	0.0	0.0	0.00017	-0.00456	0.0	0.0	0.0	0.0	0.0	0.0
A.A.22.A:B.A.22.A:C.A.22.A:D.A.22.A	A22A_A22A_A22A_A22A	A22_A22_A22_A22	mut	kcal/mol	ref2015	0.22329	-10.51164	6.43384	6.70781	0.0	-0.0	-0.18839	-1.56664	0.0	0.0	-0.26407	-0.38761	0.0	0.0	0.0	0.0	0.0	0.0
A.A.22.A:B.A.22.A:C.A.22.A:D.A.22.A	A22A_A22A_A22A_A22A	A22_A22_A22_A22	wt	kcal/mol	ref2015	0.23397	-10.50766	6.43618	6.70013	0.0	-0.0	-0.18706	-1.56034	0.0	0.0	-0.26424	-0.38305	0.0	0.0	0.0	0.0	0.0	0.0
A.A.22.A	A22A_WT_WT_WT	A22	ddg	kcal/mol	ref2015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A.A.22.A	A22A_WT_WT_WT	A22	mut	kcal/mol	ref2015	0.48433	-10.58785	6.69248	6.70698	-0.0	-0.0	-0.33638	-1.3226	0.0	0.0	-0.3124	-0.3559	0.0	0.0	0.0	0.0	0.0	0.0
A.A.22.A	A22A_WT_WT_WT	A22	wt	kcal/mol	ref2015	0.48433	-10.58785	6.69248	6.70698	-0.0	-0.0	-0.33638	-1.3226	0.0	0.0	-0.3124	-0.3559	0.0	0.0	0.0	0.0	0.0	0.0
B.A.22.A:C.A.22.A:D.A.22.A	WT_A22A_A22A_A22A	A22_A22_A22	ddg	kcal/mol	ref2015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
B.A.22.A:C.A.22.A:D.A.22.A	WT_A22A_A22A_A22A	A22_A22_A22	mut	kcal/mol	ref2015	0.01712	-10.76625	6.37111	6.88545	-0.0	-0.0	-0.21145	-1.57578	0.0	0.0	-0.32234	-0.36363	0.0	0.0	0.0	0.0	0.0	0.0
B.A.22.A:C.A.22.A:D.A.22.A	WT_A22A_A22A_A22A	A22_A22_A22	wt	kcal/mol	ref2015	0.01712	-10.76625	6.37111	6.88545	-0.0	-0.0	-0.21145	-1.57578	0.0	0.0	-0.32234	-0.36363	0.0	0.0	0.0	0.0	0.0	0.0
A.A.22.A:C.A.22.A	A22A_WT_A22A_WT	A22_A22	ddg	kcal/mol	ref2015	-0.00585	0.00173	0.00359	-0.00322	-0.0	-0.0	-0.00098	-0.00563	0.0	0.0	-1e-05	-0.00133	0.0	0.0	0.0	0.0	0.0	0.0
A.A.22.A:C.A.22.A	A22A_WT_A22A_WT	A22_A22	mut	kcal/mol	ref2015	0.45228	-10.99151	6.81302	7.14069	0.0	-0.0	-0.1416	-1.64008	0.0	0.0	-0.3533	-0.37495	0.0	0.0	0.0	0.0	0.0	0.0
A.A.22.A:C.A.22.A	A22A_WT_A22A_WT	A22_A22	wt	kcal/mol	ref2015	0.45813	-10.99324	6.80943	7.14391	0.0	-0.0	-0.14062	-1.63444	0.0	0.0	-0.35329	-0.37362	0.0	0.0	0.0	0.0	0.0	0.0
A.A.22.A:D.A.22.A	A22A_WT_WT_A22A	A22_A22	ddg	kcal/mol	ref2015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A.A.22.A:D.A.22.A	A22A_WT_WT_A22A	A22_A22	mut	kcal/mol	ref2015	-0.00941	-10.11114	6.22967	6.32621	-0.0	-0.0	-0.32965	-1.38561	0.0	0.0	-0.36934	-0.36954	0.0	0.0	0.0	0.0	0.0	0.0
A.A.22.A:D.A.22.A	A22A_WT_WT_A22A	A22_A22	wt	kcal/mol	ref2015	-0.00941	-10.11114	6.22967	6.32621	-0.0	-0.0	-0.32965	-1.38561	0.0	0.0	-0.36934	-0.36954	0.0	0.0	0.0	0.0	0.0	0.0
A.A.22.A:B.A.22.A	A22A_A22A_WT_WT	A22_A22	ddg	kcal/mol	ref2015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A.A.22.A:B.A.22.A	A22A_A22A_WT_WT	A22_A22	mut	kcal/mol	ref2015	0.34789	-10.55441	6.55234	6.72009	0.0	0.0	-0.36923	-1.34288	0.0	0.0	-0.31454	-0.34349	0.0	0.0	0.0	0.0	0.0	0.0
A.A.22.A:B.A.22.A	A22A_A22A_WT_WT	A22_A22	wt	kcal/mol	ref2015	0.34789	-10.55441	6.55234	6.72009	0.0	0.0	-0.36923	-1.34288	0.0	0.0	-0.31454	-0.34349	0.0	0.0	0.0	0.0	0.0	0.0
A.A.22.C:B.A.22.C:C.A.22.C:D.A.22.C	A22C_A22C_A22C_A22C	A22_A22_A22_A22	ddg	kcal/mol	ref2015	0.06861	-0.00321	0.01714	0.00206	-0.0	-0.0	-0.01497	0.0519	0.0	0.0	0.00613	0.00956	0.0	0.0	0.0	0.0	0.0	0.0
A.A.22.C:B.A.22.C:C.A.22.C:D.A.22.C	A22C_A22C_A22C_A22C	A22_A22_A22_A22	mut	kcal/mol	ref2015	0.48602	-10.96131	6.9007	7.11859	0.0	-0.0	-0.17633	-1.62771	0.0	0.0	-0.3629	-0.40502	0.0	0.0	0.0	0.0	0.0	0.0
A.A.22.C:B.A.22.C:C.A.22.C:D.A.22.C	A22C_A22C_A22C_A22C	A22_A22_A22_A22	wt	kcal/mol	ref2015	0.41741	-10.95811	6.88356	7.11653	0.0	-0.0	-0.16136	-1.67961	0.0	0.0	-0.36903	-0.41458	0.0	0.0	0.0	0.0	0.0	0.0
A.A.22.C	A22C_WT_WT_WT	A22	ddg	kcal/mol	ref2015	-0.00399	-0.02009	0.0129	0.0334	-0.0	0.0	-0.01265	-0.00485	0.0	0.0	0.00242	-0.01512	0.0	0.0	0.0	0.0	0.0	0.0
A.A.22.C	A22C_WT_WT_WT	A22	mut	kcal/mol	ref2015	0.12544	-10.4258	6.48123	6.6125	-0.0	-0.0	-0.36224	-1.43369	0.0	0.0	-0.3359	-0.41065	0.0	0.0	0.0	0.0	0.0	0.0
A.A.22.C	A22C_WT_WT_WT	A22	wt	kcal/mol	ref2015	0.12943	-10.40572	6.46833	6.5791	-0.0	-0.0	-0.34959	-1.42883	0.0	0.0	-0.33832	-0.39554	0.0	0.0	0.0	0.0	0.0	0.0
B.A.22.C:C.A.22.C:D.A.22.C	WT_A22C_A22C_A22C	A22_A22_A22	ddg	kcal/mol	ref2015	0.04538	-0.02305	0.04849	0.01047	-0.0	-0.0	0.01078	-0.00043	0.0	0.0	-0.01045	0.00957	0.0	0.0	0.0	0.0	0.0	0.0
B.A.22.C:C.A.22.C:D.A.22.C	WT_A22C_A22C_A22C	A22_A22_A22	mut	kcal/mol	ref2015	0.54787	-11.06748	6.86271	7.25942	-0.0	-0.0	-0.14461	-1.63196	0.0	0.0	-0.33477	-0.39543	0.0	0.0	0.0	0.0	0.0	0.0
B.A.22.C:C.A.22.C:D.A.22.C	WT_A22C_A22C_A22C	A22_A22_A22	wt	kcal/mol	ref2015	0.50249	-11.04443	6.81422	7.24894	0.0	0.0	-0.15539	-1.63153	0.0	0.0	-0.32432	-0.405	0.0	0.0	0.0	0.0	0.0	0.0
A.A.22.C:C.A.22.C	A22C_WT_A22C_WT	A22_A22	ddg	kcal/mol	ref2015	0.09108	-0.04274	0.13883	0.00205	0.0	0.0	-0.0165	0.02073	0.0	0.0	-0.01289	0.00159	0.0	0.0	0.0	0.0	0.0	0.0
A.A.22.C:C.A.22.C	A22C_WT_A22C_WT	A22_A22	mut	kcal/mol	ref2015	0.45977	-10.85802	6.872	6.92689	-0.0	-0.0	-0.19317	-1.57744	0.0	0.0	-0.34211	-0.36838	0.0	0.0	0.0	0.0	0.0	0.0
A.A.22.C:C.A.22.C	A22C_WT_A22C_WT	A22_A22	wt	kcal/mol	ref2015	0.36869	-10.81527	6.73316	6.92484	-0.0	-0.0	-0.17667	-1.59818	0.0	0.0	-0.32922	-0.36997	0.0	0.0	0.0	0.0	0.0	0.0
A.A.22.C:D.A.22.C	A22C_WT_WT_A22C	A22_A22	ddg	kcal/mol	ref2015	0.0597	-0.01085	0.04732	0.00069	0.0	0.0	-0.01706	0.02877	0.0	0.0	-0.01028	0.02111	0.0	0.0	0.0	0.0	0.0	0.0
A.A.22.C:D.A.22.C	A22C_WT_WT_A22C	A22_A22	mut	kcal/mol	ref2015	0.30096	-10.47712	6.42226	6.66902	-0.0	-0.0	-0.34215	-1.28433	0.0	0.0	-0.40709	-0.27963	0.0	0.0	0.0	0.0	0.0	0.0
A.A.22.C:D.A.22.C	A22C_WT_WT_A22C	A22_A22	wt	kcal/mol	ref2015	0.24126	-10.46626	6.37494	6.66832	-0.0	-0.0	-0.3251	-1.31309	0.0	0.0	-0.39681	-0.30074	0.0	0.0	0.0	0.0	0.0	0.0
A.A.22.C:B.A.22.C	A22C_A22C_WT_WT	A22_A22	ddg	kcal/mol	ref2015	-0.04047	-0.01041	-0.02136	0.02179	0.0	0.0	-0.00933	-0.031	0.0	0.0	-0.00789	0.01773	0.0	0.0	0.0	0.0	0.0	0.0
A.A.22.C:B.A.22.C	A22C_A22C_WT_WT	A22_A22	mut	kcal/mol	ref2015	0.20674	-10.18896	6.52426	6.49888	0.0	-0.0	-0.30745	-1.51523	0.0	0.0	-0.40058	-0.40418	0.0	0.0	0.0	0.0	0.0	0.0
A.A.22.C:B.A.22.C	A22C_A22C_WT_WT	A22_A22	wt	kcal/mol	ref2015	0.2472	-10.17855	6.54562	6.47709	0.0	-0.0	-0.29813	-1.48423	0.0	0.0	-0.3927	-0.42191	0.0	0.0	0.0	0.0	0.0	0.0
A.A.22.D:B.A.22.D:C.A.22.D:D.A.22.D	A22D_A22D_A22D_A22D	A22_A22_A22_A22	ddg	kcal/mol	ref2015	0.07096	-0.0512	0.08318	0.02838	0.0	0.0	-0.02719	0.01964	0.0	0.0	-0.01308	0.03123	0.0	0.0	0.0	0.0	0.0	0.0
A.A.22.D:B.A.22.D:C.A.22.D:D.A.22.D	A22D_A22D_A22D_A22D	A22_A22_A22_A22	mut	kcal/mol	ref2015	0.44649	-10.78423	6.73688	7.094	0.0	-0.0	-0.14982	-1.69943	0.0	0.0	-0.38089	-0.37002	0.0	0.0	0.0	0.0	0.0	0.0
